id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB023 HMB5093 0.549 0.0119 45.0 2nd PHS 0.9904548568396465
HMB024 HMB025 0.9888 0.0102 22.0 PO PO 1.0
HMB024 HMB039 0.5023 0.0044 43.0 2nd GP 0.9994611993169439
HMB024 HMB117 0.5707 0.0051 41.0 2nd GP 0.9998472106241852
HMB024 HMB302 0.9802 0.0161 22.0 PO PO 1.0
HMB024 HMB359 0.9827 0.0138 22.0 PO PO 1.0
HMB024 HMB376 0.9826 0.016 22.0 PO PO 1.0
HMB024 HMB495 0.9759 0.0226 22.0 PO PO 1.0
HMB024 HMB500 0.9816 0.0182 22.0 PO PO 1.0
HMB024 HMB530 0.9826 0.0165 22.0 PO PO 1.0
HMB024 HMB678 0.9267 0.0719 22.0 PO PO 0.9999999999999984
HMB024 HMB866 0.5451 0.0105 53.0 2nd MGP 0.8425974382347704
HMB024 HMB868 0.5558 0.0122 61.0 2nd AV 0.9079257949196459
HMB024 HMB869 0.5359 0.0055 50.0 2nd MGP 0.8831974344508564
HMB024 HMB999 0.44 0.0031 54.0 2nd GPAV 0.8839090940972911
HMB024 HMB1047 0.4936 0.0062 50.0 2nd MGP 0.8707969050099079
HMB024 HMB1050 0.4855 0.0049 47.0 2nd GP 0.912989004409755
HMB024 HMB1051 0.5396 0.0079 47.0 2nd 2nd 0.999997210616385
HMB024 HMB2101 0.5385 0.006 48.0 2nd MGP 0.8553947867279893
HMB024 HMB2102 0.5456 0.0119 48.0 2nd MGP 0.824644511210503
HMB024 HMB3014 0.3913 0.0078 37.0 3rd 3rd 0.9549973503524126
HMB024 HMB3015 0.472 0.0058 43.0 2nd GP 0.9951875550148778
HMB024 HMB3022 0.4705 0.0223 40.0 2nd GP 0.9967386747587571
HMB024 HMB3043 0.6065 0.0308 39.0 2nd GP 0.9999146644312269
HMB024 HMB3070 0.4647 0.0045 47.0 2nd GP 0.9772231449146896
HMB025 HMB039 0.3971 0.0476 70.0 3rd+ 3rd+ 0.6746746124081917
HMB025 HMB056 0.9755 0.0242 22.0 PO PO 1.0
HMB025 HMB117 0.3016 0.0031 55.0 3rd 3rd 0.9620365369219978
HMB025 HMB144 0.5204 0.017 53.0 2nd PHS 0.8442691027818363
HMB025 HMB161 0.436 0.0108 51.0 2nd PHS 0.8126723927496775
HMB025 HMB163 0.3098 0.0062 49.0 3rd 3rd 0.9765072551303964
HMB025 HMB302 0.4993 0.0089 59.0 2nd HS 0.9997615958613726
HMB025 HMB359 0.5718 0.0077 62.0 2nd MHS 0.8614935893236724
HMB025 HMB376 0.5312 0.0079 59.0 2nd HS 0.9998943301828838
HMB025 HMB495 0.4663 0.0031 68.0 2nd MHS 0.969692184207923
HMB025 HMB500 0.5721 0.2244 47.0 FS FS 1.0
HMB025 HMB530 0.5046 0.0064 62.0 2nd MHS 0.8263312746641764
HMB025 HMB678 0.556 0.0104 61.0 2nd HS 0.999516811383336
